Name,Image source,Rating,Genres,Release year
GetBackers,https://cdn.myanimelist.net/images/anime/1056/109721.jpg,7.57,"['Action', 'Mystery', 'Supernatural', 'Super Power']",2002
Ga-Rei: Zero,https://cdn.myanimelist.net/images/anime/9/83975.jpg,7.57,"['Action', 'Supernatural', 'Suspense', 'Gore', 'Super Power']",2008
Hana yori Dango,https://cdn.myanimelist.net/images/anime/2/42871.jpg,7.57,"['Drama', 'Romance', 'Love Polygon', 'School']",1996
Fukigen na Mononokean Tsuzuki,https://cdn.myanimelist.net/images/anime/1298/111600.jpg,7.57,"['Comedy', 'Supernatural', 'Mythology']",2019
Full Metal Panic! Invisible Victory,https://cdn.myanimelist.net/images/anime/1033/92011.jpg,7.57,"['Action', 'Mecha', 'Military']",2018
Pokemon: Mezase Pokemon Master,https://cdn.myanimelist.net/images/anime/1246/134209.jpg,7.57,"['Action', 'Adventure', 'Comedy', 'Fantasy']",2023
Fairy Tail,https://cdn.myanimelist.net/images/anime/5/18179.jpg,7.57,"['Action', 'Adventure', 'Fantasy']",2009
Dragon Quest: Dai no Daibouken (TV),https://cdn.myanimelist.net/images/anime/1963/108416.jpg,7.57,"['Action', 'Adventure', 'Fantasy']",1991
Pretty Rhythm: Rainbow Live,https://cdn.myanimelist.net/images/anime/8/73957.jpg,7.57,"['Sports', 'Idols (Female)', 'Music']",2013
Yume-iro Pâtissière SP Professional,https://cdn.myanimelist.net/images/anime/2/27794.jpg,7.57,"['Gourmet', 'Slice of Life']",2010
Tsubasa Chronicle 2nd Season,https://cdn.myanimelist.net/images/anime/4/6554.jpg,7.57,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Romance']",2006
Ushio to Tora (TV),https://cdn.myanimelist.net/images/anime/8/74945.jpg,7.57,"['Action', 'Adventure', 'Supernatural', 'Mythology']",2015
Wonder Egg Priority,https://cdn.myanimelist.net/images/anime/1079/110751.jpg,7.57,"['Drama', 'Supernatural', 'Suspense', 'Psychological']",2021
Arakawa Under the Bridge,https://cdn.myanimelist.net/images/anime/1019/98620.jpg,7.56,"['Comedy', 'Romance']",2010
Yuuki Bakuhatsu Bang Bravern,https://cdn.myanimelist.net/images/anime/1872/140863.jpg,7.56,"['Action', 'Comedy', 'Sci-Fi', 'Adult Cast', 'Mecha', 'Military', 'Parody']",2024
